file,line,column,function,value,context,interpretation
python/a100_device_gate.py,446,41,main,2,"print(json.dumps(payload, indent=2, sort_keys=True))",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,319,39,_load_preflight,0,"or int(counts.get(""tests"", 0)) != len(REQUIRED_NATIVE_CUDA_TEST_IDS)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,320,46,_load_preflight,0,"or any(int(counts.get(key, 0)) != 0 for key in (""failures"", ""errors"", ""skipped""))",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,320,39,_load_preflight,0,"or any(int(counts.get(key, 0)) != 0 for key in (""failures"", ""errors"", ""skipped""))",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v800_preservation.py,9,42,main,1,root=Path(__file__).resolve().parents[1],원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v800_preservation.py,44,71,main,2,"(args.output_dir/'audit.json').write_text(json.dumps(report,indent=2,ensure_ascii=False))",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v800_preservation.py,50,108,main,2,"print(json.dumps({k:v for k,v in report.items() if k not in ('byte_identical_files','modified')},indent=2));return int(report['status']!='passed')",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v800_preservation.py,19,38,main,1,"rel=name.split('/',1)[1];baseline_bytes[rel]=archive.read(name)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v800_preservation.py,19,35,main,1,"rel=name.split('/',1)[1];baseline_bytes[rel]=archive.read(name)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v810_preservation.py,428,44,main,1,root = Path(__file__).resolve().parents[1],원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v810_preservation.py,89,25,_baseline_zip_files,1,if len(roots) != 1:,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v810_preservation.py,88,43,_baseline_zip_files,0,roots = {PurePosixPath(name).parts[0] for name in members},원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v810_preservation.py,488,37,main,2,"print(json.dumps(summary, indent=2, ensure_ascii=False))",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v810_preservation.py,129,39,audit,1,"if int(baseline.get(""file_count"", -1)) != len(baseline_files):",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v810_preservation.py,356,34,_write_report,2,"json.dumps(report, indent=2, ensure_ascii=False) + ""\n"", encoding=""utf-8""",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v810_preservation.py,43,46,_sha256_file,1024,"for block in iter(lambda: stream.read(1024 * 1024), b""""):",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v810_preservation.py,43,53,_sha256_file,1024,"for block in iter(lambda: stream.read(1024 * 1024), b""""):",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v810_preservation.py,98,30,_baseline_zip_files,0,or path.parts[0] != root_name,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v810_preservation.py,101,49,_baseline_zip_files,1,relative = PurePosixPath(*path.parts[1:]).as_posix(),원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v820_preservation.py,428,44,main,1,root = Path(__file__).resolve().parents[1],원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v820_preservation.py,89,25,_baseline_zip_files,1,if len(roots) != 1:,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v820_preservation.py,88,43,_baseline_zip_files,0,roots = {PurePosixPath(name).parts[0] for name in members},원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v820_preservation.py,488,37,main,2,"print(json.dumps(summary, indent=2, ensure_ascii=False))",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v820_preservation.py,129,39,audit,1,"if int(baseline.get(""file_count"", -1)) != len(baseline_files):",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v820_preservation.py,356,34,_write_report,2,"json.dumps(report, indent=2, ensure_ascii=False) + ""\n"", encoding=""utf-8""",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v820_preservation.py,43,46,_sha256_file,1024,"for block in iter(lambda: stream.read(1024 * 1024), b""""):",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v820_preservation.py,43,53,_sha256_file,1024,"for block in iter(lambda: stream.read(1024 * 1024), b""""):",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v820_preservation.py,98,30,_baseline_zip_files,0,or path.parts[0] != root_name,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/audit_v820_preservation.py,101,49,_baseline_zip_files,1,relative = PurePosixPath(*path.parts[1:]).as_posix(),원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,21,42,main,1,root=Path(__file__).resolve().parents[1],원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,44,11,main,8,"nt=min(8,args.cases)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,45,28,main,1,while args.cases%nt:nt-=1,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,85,11,main,0,return 0 if best else 1,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,85,26,main,1,return 0 if best else 1,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,26,46,main,64,"p.add_argument('--cases',type=int,default=64);p.add_argument('--repeats',type=int,default=2)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,26,94,main,2,"p.add_argument('--cases',type=int,default=64);p.add_argument('--repeats',type=int,default=2)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,27,50,main,0.05,"p.add_argument('--horizon',type=float,default=.05)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,29,58,main,0.85,"p.add_argument('--memory-fraction',type=float,default=.85);args=p.parse_args()",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,31,18,main,1,if args.cases<1 or args.repeats<1 or min(args.batches)<1 or args.horizon<=0:p.error('Counts and horizon must be positive'),원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,31,36,main,1,if args.cases<1 or args.repeats<1 or min(args.batches)<1 or args.horizon<=0:p.error('Counts and horizon must be positive'),원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,31,59,main,1,if args.cases<1 or args.repeats<1 or min(args.batches)<1 or args.horizon<=0:p.error('Counts and horizon must be positive'),원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,31,78,main,0,if args.cases<1 or args.repeats<1 or min(args.batches)<1 or args.horizon<=0:p.error('Counts and horizon must be positive'),원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,32,11,main,0,if not 0<args.memory_fraction<1:p.error('memory-fraction must be between 0 and 1'),원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,32,34,main,1,if not 0<args.memory_fraction<1:p.error('memory-fraction must be between 0 and 1'),원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,18,57,benchmark_items,0,"workflow._metadata(i,rasters[i.geometry_id],0),directory/i.geometry_id) for i in pop]",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,25,59,main,4,"p.add_argument('--batches',nargs='+',type=int,default=[4,8,16,32,64])",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,25,61,main,8,"p.add_argument('--batches',nargs='+',type=int,default=[4,8,16,32,64])",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,25,63,main,16,"p.add_argument('--batches',nargs='+',type=int,default=[4,8,16,32,64])",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,25,66,main,32,"p.add_argument('--batches',nargs='+',type=int,default=[4,8,16,32,64])",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,25,69,main,64,"p.add_argument('--batches',nargs='+',type=int,default=[4,8,16,32,64])",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,50,58,main,2,"e._safe_run(items[:min(2,len(items))],[e.voltage]*min(2,len(items)),role='benchmark_warmup')",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,84,89,main,2,"(out/'batch_benchmark.json').write_text(json.dumps(_strict_json_value(report),indent=2,allow_nan=False))",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,50,27,main,2,"e._safe_run(items[:min(2,len(items))],[e.voltage]*min(2,len(items)),role='benchmark_warmup')",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,61,37,main,0,"valid=[e._trial_valid(x)[0] and (not args.include_vmin or x.get('minimumIgnitionVoltageSearchValid',False)) for x in results]",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,78,31,main,1,"print(json.dumps(rows[-1]),flush=True)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,67,26,main,2,if a[:2]!=b[:2]:parity=False;continue,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,67,33,main,2,if a[:2]!=b[:2]:parity=False;continue,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,68,37,main,2,"for x,y in zip(a[2:],b[2:]):",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,68,43,main,2,"for x,y in zip(a[2:],b[2:]):",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,71,53,main,0.001,"elif not np.isclose(x,y,rtol=1e-3,atol=1e-4,equal_nan=True):parity=False",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_bc_native_batches.py,71,63,main,0.0001,"elif not np.isclose(x,y,rtol=1e-3,atol=1e-4,equal_nan=True):parity=False",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,32,26,main,1,torch.set_num_threads(1),원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,23,46,main,10,"p.add_argument('--steps',type=int,default=10);p.add_argument('--repeats',type=int,default=3)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,23,94,main,3,"p.add_argument('--steps',type=int,default=10);p.add_argument('--repeats',type=int,default=3)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,26,15,main,1,if a.steps<1 or a.repeats<1:raise SystemExit('positive steps/repeats required'),원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,26,30,main,1,if a.steps<1 or a.repeats<1:raise SystemExit('positive steps/repeats required'),원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,42,11,main,1e-08,dt=1e-8 if a.dynamic else 1e-5,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,42,34,main,1e-05,dt=1e-8 if a.dynamic else 1e-5,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,52,23,main,3,"for _ in range(3):trial(k.initial,d,first)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,63,56,main,2e-10,"np.testing.assert_allclose(final,reference,rtol=2e-10,atol=2e-6)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,63,67,main,2e-06,"np.testing.assert_allclose(final,reference,rtol=2e-10,atol=2e-6)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,79,99,main,2,"a.output.parent.mkdir(parents=True,exist_ok=True);a.output.write_text(json.dumps(report,indent=2)+'\n')",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,29,13,main,5,if any(x<5 or x>1024 for x in grids) or any(x<1 or x>256 for x in batches):raise SystemExit('Invalid grid/batch bounds'),원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,29,20,main,1024,if any(x<5 or x>1024 for x in grids) or any(x<1 or x>256 for x in batches):raise SystemExit('Invalid grid/batch bounds'),원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,29,50,main,1,if any(x<5 or x>1024 for x in grids) or any(x<1 or x>256 for x in batches):raise SystemExit('Invalid grid/batch bounds'),원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,29,57,main,256,if any(x<5 or x>1024 for x in grids) or any(x<1 or x>256 for x in batches):raise SystemExit('Invalid grid/batch bounds'),원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,41,52,main,1,"P=s.thermo.primitive(s.U);P[...,0]*=1+1e-7*np.cos(2*np.pi*(np.arange(n)[None,:]+.5)/n);s.U=s.thermo.conservative(P)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,37,70,main,0.5,"h['temperatureAtOnset_K']+=np.cos(np.pi*(np.arange(n)[None,:]+.5)/n)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,41,48,main,0,"P=s.thermo.primitive(s.U);P[...,0]*=1+1e-7*np.cos(2*np.pi*(np.arange(n)[None,:]+.5)/n);s.U=s.thermo.conservative(P)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,41,54,main,1e-07,"P=s.thermo.primitive(s.U);P[...,0]*=1+1e-7*np.cos(2*np.pi*(np.arange(n)[None,:]+.5)/n);s.U=s.thermo.conservative(P)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,48,90,main,0,"for i,s in enumerate(ss):ref[i]=s.advance(0.,ref[i],dt,first_order=False)[0]",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,48,58,main,0.0,"for i,s in enumerate(ss):ref[i]=s.advance(0.,ref[i],dt,first_order=False)[0]",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,69,85,main,1.0,"max_scaled_state_difference=float(np.max(abs(final-reference)/np.maximum(1.,abs(reference)))),",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,41,66,main,2,"P=s.thermo.primitive(s.U);P[...,0]*=1+1e-7*np.cos(2*np.pi*(np.arange(n)[None,:]+.5)/n);s.U=s.thermo.conservative(P)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/benchmark_reactive_backends.py,41,96,main,0.5,"P=s.thermo.primitive(s.U);P[...,0]*=1+1e-7*np.cos(2*np.pi*(np.arange(n)[None,:]+.5)/n);s.U=s.thermo.conservative(P)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/check_bc_native_cuda.py,31,9,main,0,code=0 if all(checks.values()) else 1,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/check_bc_native_cuda.py,31,40,main,1,code=0 if all(checks.values()) else 1,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/check_bc_native_cuda.py,17,44,main,5,"'device_guard':cu.count('CUDAGuard')>=5,",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/check_bc_native_cuda.py,18,57,main,5,"'current_stream':cu.count('getCurrentCUDAStream')>=5,",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/check_bc_native_cuda.py,19,64,main,5,"'launch_checks':cu.count('C10_CUDA_KERNEL_LAUNCH_CHECK')>=5,",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/check_bc_native_cuda.py,43,35,main,2,elif args.require_compile:code=2,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/check_bc_native_cuda.py,42,84,main,1,report['compile_status']='failed';report['compile_error']=str(exc);code=1,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/check_bc_native_cuda.py,44,105,main,2,"args.output.parent.mkdir(parents=True,exist_ok=True);args.output.write_text(json.dumps(report,indent=2))",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/check_bc_native_cuda.py,45,35,main,2,"print(json.dumps(report,indent=2));return code",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,13,42,main,1,root=Path(__file__).resolve().parents[1];p=argparse.ArgumentParser(description=__doc__),원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,15,157,main,1,"p.add_argument('--steps',type=int,default=10);p.add_argument('--strict-common-tolerances',action='store_true');args=p.parse_args();torch.set_num_threads(1)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,15,46,main,10,"p.add_argument('--steps',type=int,default=10);p.add_argument('--strict-common-tolerances',action='store_true');args=p.parse_args();torch.set_num_threads(1)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,25,55,main,5,cfg['bc_global']['electricalUpdateInterval_s']=5*dt,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,35,24,main,20.0,"for voltage in (20.,260.):",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,35,28,main,260.0,"for voltage in (20.,260.):",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,14,108,main,17,"p.add_argument('--output',type=Path,required=True);p.add_argument('--grids',type=int,nargs='+',default=[17,33])",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,14,111,main,33,"p.add_argument('--output',type=Path,required=True);p.add_argument('--grids',type=int,nargs='+',default=[17,33])",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,33,20,main,32,"a=np.zeros((32,32),bool);b=a.copy();a[5:8,5:26]=True;b[24:27,5:26]=True",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,33,23,main,32,"a=np.zeros((32,32),bool);b=a.copy();a[5:8,5:26]=True;b[24:27,5:26]=True",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,62,105,main,2,"args.output.parent.mkdir(parents=True,exist_ok=True);args.output.write_text(json.dumps(report,indent=2))",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,63,74,main,2,"print(json.dumps({k:v for k,v in report.items() if k!='cases'},indent=2));return int(report['status']!='passed')",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,28,84,main,1e-12,"override['numerics']['potentialSolver'].update(relativeToleranceCoupled=1e-12,maximumIterationsCoupled=4000)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,28,115,main,4000,"override['numerics']['potentialSolver'].update(relativeToleranceCoupled=1e-12,maximumIterationsCoupled=4000)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,29,91,main,300,"override['interface'].setdefault('nonlinearRobin',{}).update(maximumIterations=300,",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,30,37,main,1e-06,"potentialTolerance_V=1e-6,relativeReactionCurrentTolerance=1e-6,currentBalanceTolerance=1e-6,",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,30,75,main,1e-06,"potentialTolerance_V=1e-6,relativeReactionCurrentTolerance=1e-6,currentBalanceTolerance=1e-6,",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,30,104,main,1e-06,"potentialTolerance_V=1e-6,relativeReactionCurrentTolerance=1e-6,currentBalanceTolerance=1e-6,",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,31,53,main,1e-06,"localRobinResidualTolerance_A_per_m2=1e-6,localRobinRelativeResidualTolerance=1e-8,gaugeMaximumIterations=60)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,31,94,main,1e-08,"localRobinResidualTolerance_A_per_m2=1e-6,localRobinRelativeResidualTolerance=1e-8,gaugeMaximumIterations=60)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,31,122,main,60,"localRobinResidualTolerance_A_per_m2=1e-6,localRobinRelativeResidualTolerance=1e-8,gaugeMaximumIterations=60)",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,33,46,main,5,"a=np.zeros((32,32),bool);b=a.copy();a[5:8,5:26]=True;b[24:27,5:26]=True",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,33,48,main,8,"a=np.zeros((32,32),bool);b=a.copy();a[5:8,5:26]=True;b[24:27,5:26]=True",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,33,50,main,5,"a=np.zeros((32,32),bool);b=a.copy();a[5:8,5:26]=True;b[24:27,5:26]=True",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,33,52,main,26,"a=np.zeros((32,32),bool);b=a.copy();a[5:8,5:26]=True;b[24:27,5:26]=True",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,33,63,main,24,"a=np.zeros((32,32),bool);b=a.copy();a[5:8,5:26]=True;b[24:27,5:26]=True",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,33,66,main,27,"a=np.zeros((32,32),bool);b=a.copy();a[5:8,5:26]=True;b[24:27,5:26]=True",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/compare_bc_native_python.py,33,69,main,5,"a=np.zeros((32,32),bool);b=a.copy();a[5:8,5:26]=True;b[24:27,5:26]=True",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
