group,key,value,units,classification,declared_source,source,qualification
BC 수송/수치 입력,transport.gasConstant_J_per_molK,8.314462618,J/(mol K),상수/화학종·반응 정의(반응 정의는 별도 검증 필요),,config/default_lp_pva.yaml:290,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 수송/수치 입력,transport.faradayConstant_C_per_mol,96485.33212,C/mol,상수/화학종·반응 정의(반응 정의는 별도 검증 필요),,config/default_lp_pva.yaml:291,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 수송/수치 입력,transport.chargeNumberCation,1.0,키/정의 참조,상수/화학종·반응 정의(반응 정의는 별도 검증 필요),,config/default_lp_pva.yaml:292,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 수송/수치 입력,transport.chargeNumberAnion,-1.0,키/정의 참조,상수/화학종·반응 정의(반응 정의는 별도 검증 필요),,config/default_lp_pva.yaml:293,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC에서 bcGlobal.transport로 대체/비활성,transport.cationDiffusivityDry_m2_per_s,5e-15,m²/s,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:294,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC에서 bcGlobal.transport로 대체/비활성,transport.anionDiffusivityDry_m2_per_s,3e-15,m²/s,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:295,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC에서 bcGlobal.transport로 대체/비활성,transport.cationDiffusivityWet_m2_per_s,2e-13,m²/s,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:296,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC에서 bcGlobal.transport로 대체/비활성,transport.anionDiffusivityWet_m2_per_s,1.5e-13,m²/s,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:297,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC에서 bcGlobal.transport로 대체/비활성,transport.waterDiffusivity_m2_per_s,2e-10,m²/s,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:298,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC에서 bcGlobal.transport로 대체/비활성,transport.cationTransportActivationEnergy_J_per_mol,22000.0,J/mol,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:299,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC에서 bcGlobal.transport로 대체/비활성,transport.anionTransportActivationEnergy_J_per_mol,25000.0,J/mol,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:300,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC에서 bcGlobal.transport로 대체/비활성,transport.referenceTemperature_K,298.15,K,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:301,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC에서 bcGlobal.transport로 대체/비활성,transport.liquidDiffusivityGain,120.0,m²/s,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:302,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC에서 bcGlobal.transport로 대체/비활성,transport.waterActivityExponent,1.2,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:303,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC에서 bcGlobal.transport로 대체/비활성,transport.glycerolPlasticizationGain,1.5,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:304,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC에서 bcGlobal.transport로 대체/비활성,transport.crosslinkTransportPenalty,0.8,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:305,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 수송/수치 입력,transport.concentrationMinimumFraction,1e-06,키 정의 확인(주로 무차원),수치 설정/제한,,config/default_lp_pva.yaml:306,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 수송/수치 입력,transport.concentrationMaximumMultiple,2.0,키/정의 참조,수치 설정/제한,,config/default_lp_pva.yaml:307,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 수송/수치 입력,transport.electroneutralRelaxation,1.0,1,수치 설정/제한,,config/default_lp_pva.yaml:308,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 수송/수치 입력,transport.maximumRelativeConcentrationChangePerStep,0.05,키/정의 참조,수치 설정/제한,,config/default_lp_pva.yaml:309,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
기존 경로 전용; BC에서 미사용,phase.softeningTemperature_K,355.0,K,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:311,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
기존 경로 전용; BC에서 미사용,phase.glycerolSofteningShift_K_perMassRatio,30.0,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:312,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
기존 경로 전용; BC에서 미사용,phase.boricAcidSofteningShift_K_perMolarRatio,30.0,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:313,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
기존 경로 전용; BC에서 미사용,phase.transitionWidth_K,15.0,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:314,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
기존 경로 전용; BC에서 미사용,phase.relaxationTime_s,0.08,s,수치 설정/제한,,config/default_lp_pva.yaml:315,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
기존 경로 전용; BC에서 미사용,phase.latentHeat_J_per_kg,0.0,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:316,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
기존 경로 전용; BC에서 미사용,phase.minimumLiquidFractionForFastIonTransport,0.1,키 정의 확인(주로 무차원),물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:317,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
기존 경로 전용; BC에서 미사용,phase.liquidDiffusivityGain,0.0,m²/s,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,python/ecsp_nsga2/evaluator.py (override/derived); resolved_bc_production_physics.json; upstream: python/ecsp_nsga2/evaluator.py: 파생/override; resolved_bc_production_physics.json,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.contactModel,"""surface_overlay_full_propellant""",키/정의 참조,모델 선택/가정,,config/default_lp_pva.yaml:319,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.contactNormalConductionLength_m,3e-05,m,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:320,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.electrodeMasksRemovePropellant,false,키/정의 참조,모델 선택/가정,,config/default_lp_pva.yaml:321,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.hiddenBusConnectionAssumed,true,키/정의 참조,모델 선택/가정,,config/default_lp_pva.yaml:322,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.currentDirectionModel,"""signed_normal""",키/정의 참조,모델 선택/가정,,config/nsga2_bc_reactive_a100_cpu8.yaml:327,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.useFullButlerVolmer,true,키/정의 참조,모델 선택/가정,,config/nsga2_bc_reactive_a100_cpu8.yaml:328,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.deriveMassTransferCoefficientFromDiffusivity,true,m²/s,모델 선택/가정,,config/default_lp_pva.yaml:325,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.physicalDiffusionLayerThickness_m,3e-05,m,운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:326,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.numericalReactionLayerMinimum_m,3e-05,m,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:327,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.includeActivationHeat,false,키/정의 참조,모델 선택/가정,,config/nsga2_bc_reactive_a100_cpu8.yaml:324,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.activationHeatFraction,0.0,키 정의 확인(주로 무차원),물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/nsga2_bc_reactive_a100_cpu8.yaml:325,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.exponentialArgumentLimit,45.0,키/정의 참조,수치 설정/제한,,config/default_lp_pva.yaml:330,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.liquidKineticsGain,0.0,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/nsga2_bc_reactive_a100_cpu8.yaml:329,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.water.anode.equilibriumPotential_V,1.23,V,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:334,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.water.anode.exchangeCurrentDensity_A_per_m2,8.0,kg/m³,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:335,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.water.anode.chargeTransferCoefficient,0.5,키 정의 확인(주로 무차원),물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:336,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.water.anode.reverseAvailabilityFraction,1.0,키 정의 확인(주로 무차원),물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:337,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.water.anode.electronNumber,2.0,키/정의 참조,상수/화학종·반응 정의(반응 정의는 별도 검증 필요),,config/default_lp_pva.yaml:338,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.water.anode.massTransferCoefficient_m_per_s,1e-05,키 정의 확인(주로 무차원),물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:339,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.water.anode.reactionEnthalpy_J_per_mol,25000.0,J/mol,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:340,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
