file,lines,bytes,functions,is_test,sha256
python/ecsp_native/standalone.py,131,7564,6,False,d5f3a0c6e08fa7c1c1e02deff3029141b3db12bb4fb3e5328ada56ed355fbde0
python/ecsp_nsga2/__init__.py,10,349,0,False,202b6e1a62b8cee84641e372a71532d05e8342a45ffdca56d41ab910e8edd255
python/ecsp_nsga2/baselines.py,704,28562,15,False,fce9eed8f7a82df00c39f30dc9712ec1b3dabcb63213a9621931b4ca06460bb5
python/ecsp_nsga2/bc_native.py,323,18203,21,False,920cfa88624be1e90ef7710af6aa755d538618e9ac69155d76e50a6a97f78c67
python/ecsp_nsga2/bc_vmin.py,255,12148,4,False,b295d4f13310f6ddd398dd95ee2871ad42c7ff614602c9961810ad7b7b35888f
python/ecsp_nsga2/diversity.py,127,4285,5,False,f66093a5621ae0d4ae0eb2813bb0ccfdbed4918941148c1870e3141f0706e273
python/ecsp_nsga2/evaluator.py,3446,156639,60,False,b91057669eacdcbd59eeb85ab187ef19f1676fbf070e0ef0c74dd8e66e06d81b
python/ecsp_nsga2/geometry.py,1058,44022,35,False,0dcd3b35a360d7d8b14997022bd142a46733eeed5f1f2eb5194c5cd82229e2cd
python/ecsp_nsga2/hybrid.py,789,36969,13,False,d51ccc318e011171983207d6785035cb22edae71123891e2dcd832f86ceb2256
python/ecsp_nsga2/nsga2.py,215,7051,11,False,10a7912348b0f9c57a10e9deab481781f9a9e596aff0cc63bc4a784737243fd9
python/ecsp_nsga2/post_onset.py,208,11368,7,False,451835542a38f7352a65d76d6365cfa3dce3b859157b38e8332759140fa4f3a1
python/ecsp_nsga2/post_onset_batch.py,154,9164,6,False,63b004b6accfb3ac2d29e4df02626650d468533c6ff0853e3b7fc3e3d473d612
python/ecsp_nsga2/propagation.py,2186,89468,21,False,7754f12b54a3bf41773732769ac26d8a8666bac3d445f4df912980c3191c5f15
python/ecsp_nsga2/workflow.py,1881,86901,33,False,9dcaa43b500adb1c73b662faa75d9f1995aa4bdbcebc6de51d55efbbf58a5964
python/ecsp_reactive/__init__.py,103,2612,0,False,6e615052195ea5ea72548f75776ac41ac0d629fd2b886ed29fcf3743cab39ef8
python/ecsp_reactive/cli.py,180,6936,4,False,dc0aeef3948ad0b4fd6555626692ba695a317ade13f049f0fe5bfec79f46c8ee
python/ecsp_reactive/condensed/__init__.py,9,431,0,False,6287f06c3134ac5854649e912ff57e7fbd7d2284cf1cb52ddd57ddce6150060f
python/ecsp_reactive/condensed/chemistry.py,112,6534,6,False,d85e9cf502295aa2e4cb23e922aa4d4605dea956bedfc56db8a437c7655685ac
python/ecsp_reactive/condensed/electrical.py,108,6751,5,False,9b8a228186423a032428c8cc64e2468aaaf8ff0b6fe8eff65e3f43b21098a8f4
python/ecsp_reactive/condensed/finite_volume.py,158,7626,8,False,b58a182f885a39271499e65259994ebf4486faa83122815257caf29cf243a06e
python/ecsp_reactive/condensed/handoff.py,176,10866,6,False,dbeb226cac8b4ee6f0ab5a26e79ff13c9f9a9496630651c3d2755c6fbf4c1235
python/ecsp_reactive/condensed/solver.py,385,27984,11,False,946a3b32e16715c7043949c62e868cabbf22b442f63de69c52e0e3d9917eba85
python/ecsp_reactive/condensed/tensor_electrical.py,90,5883,2,False,4d395a36a1eb1461c5572c82022e5fde4b15627e95a840530331039b6de4b662
python/ecsp_reactive/condensed/tensor_math.py,384,21726,30,False,5f5111a13dbafc3152a798958378fd2759f1dbdf3e324b6b6db3492466060225
python/ecsp_reactive/condensed/tensor_solver.py,228,14954,6,False,3ec362b9cf1357cc2333361fd126b05ef9b355f52b180d4ad4ebc9aebecbcfca
python/ecsp_reactive/condensed/thermo.py,138,7759,15,False,ff73f714841ae9ba87a5430dcc42a5ee9aea106f6f6200747f2fb5a62ab459f9
python/ecsp_reactive/condensed/validation_cases.py,33,2640,1,False,4c00868fbe3430ef7a7777344d3f4eb2feeaed3da734e989f15517e04c264215
python/ecsp_reactive/configuration.py,1224,48632,21,False,46f6b8dea7cfaf72ae4ffac965f404e98c2eb04a932d4dc71282ca62e5117e95
python/ecsp_reactive/core.py,311,10728,7,False,087ed16e3337fa4e91b9b60e3d7e1e6cf69b993a273eb5109a8915717e1374fd
python/ecsp_reactive/electrical.py,200,8444,7,False,5f2764b030c30634df1335b6bdeff88e02d3c882652003d933d53b80738ec92c
python/ecsp_reactive/eos.py,461,17403,25,False,656e2da19b8fa64dde55fcd1d903a9d0a47feff36a914ecae5ca8315c57af0ab
python/ecsp_reactive/front.py,698,26944,18,False,b686f8d0113fb47f504010d38fd049bd24c7deec86707de2348a1e205de2b74c
python/ecsp_reactive/level_set.py,806,30391,24,False,a165268ac9c6023be035facb4acf6c9d5f369c9be91e52d69052f9adba0af0e9
python/ecsp_reactive/numerics.py,665,25263,17,False,9ea61b3dd43d063afdfd36850ecd036d47a54bab9635708a3d50402e350f07f1
python/ecsp_reactive/parallel.py,166,7097,10,False,1d1c953fb78e7a102df2bfc138e1af4b7bfbe10bf75d11b1f7374c3c19ca2128
python/ecsp_reactive/provenance.py,171,6684,6,False,c0cc389fb96e53675532013d85e772af83222b66db1e7fa6720eba6be2006ec9
python/ecsp_reactive/reaction.py,181,7287,4,False,69c1b4023bba2552d2ff9eea9d7c7555ad5d2943335d9128c2660919a0c95901
python/ecsp_reactive/solid.py,235,10180,8,False,07be5542df0de08a92dfe1ac4bedb3dcefb748dbe5eccd52d3457c836b6e59e6
python/ecsp_reactive/solver.py,2566,109688,43,False,986c4eed7d6ab1ea221cc7f609649938cc41cbbb0dfe8b0a293914e73f29924f
python/ecsp_reactive/validation.py,1342,54998,26,False,c9f9f81ac283edea1271ba80bc1105d4631d32bd9e2cfc3fac03e138bc9837c8
python/ecsp_v6/__init__.py,3,122,0,False,b06b5bfe6f09821a24a584165848cf77f8a07caa63d0f6cdce8bfb50911f77dc
python/ecsp_v6/composition.py,155,6683,3,False,f3e288d51148e3825093cccff5e4b9f847adeb5ce7d281d1ad40ecdb183a56b8
python/ecsp_v6/config.py,1063,50469,9,False,1ed4a7837a6b6f15d18c3812664b4adad87a048e4fdcd8bc9d60043069a1b636
python/ecsp_v6/manufacturability.py,1308,54744,32,False,7f1fda25c042fe8b4689d6b7b2ddf397bcd8caeefce0df007da660ca5a4658e0
python/ecsp_v6/maskio.py,34,1384,3,False,526b3e615b8e6ee6858c154a422193ae4bd794289e5317bd95311e9288cccca6
python/ecsp_v6/physics/__init__.py,1,84,0,False,7174f33a674e8bc74b68e011ad51cefa1d5698ceec4990427323db2df2cd994e
python/ecsp_v6/physics/bc_global.py,3985,161529,34,False,67c351b8bddd51c9d9f669f767df79ee58955ced89a01763f295fefb8f88974d
python/ecsp_v6/physics/composition_model.py,53,2459,1,False,363a8baffa2a408250c64ef72112b33db069c2a624e0674d148a0d6b80b60e43
python/ecsp_v6/physics/coupled.py,867,34904,4,False,44a4b7fe8b30d5b6dc6c873f0232af8155dde58924b6b4c3563a24a80eb50524
python/ecsp_v6/physics/electrochem.py,3497,151283,42,False,4de124083077cbeb205a69de79af1ba361a041206b1e01d95bfe2eaacf86e624
python/ecsp_v6/physics/errors.py,29,1049,2,False,56e492d9f687495e2237096001a8f65a332ed64366552bb3d683b5c08f57cc81
python/ecsp_v6/physics/geometry.py,281,11104,6,False,9a16c60ba45446b0395ad0928b854e30d11841ecc743eeabcec7dca431a0ccd7
python/ecsp_v6/physics/numerics.py,297,12205,20,False,4c518a1d00f78591b29ae7064f405c4213d5101bc90f91d3de0fd302c43af6be
python/ecsp_v6/physics/potential.py,1718,76360,33,False,c0619df54c8ef22053566e47164b86c42a2b72ab8ef3088d8e58654f1ddb5606
python/ecsp_v6/physics/species.py,414,15166,6,False,cc28ceb0b9f0c7d4ba01fb8cdf1901c45c6fa39f70fdaab207ef2732a7475381
python/evaluate_area_matched_staggered.py,212,8630,2,False,b1d98a961c5a71623cdb982d0050f3c737d33231789d3b1fce7bfd12106edcae
python/make_a100_cpu48_hybrid_config.py,98,4105,1,False,7beb376c21ac9e8da8aebee7a4cedb6ad99ff7541dfffa542b9eb87e8c59cc44
python/mps_numerical_preflight.py,374,14443,6,False,0d5c9094aa9b490f63f0fd1828243a586c8559b3edf53c9422d1fccc24171fbd
python/preflight_reactive_a100.py,96,5945,4,False,31c8fc92715e20301b477118d4c3e7168d89e2104ec6c2825a74e7a7414bdbae
python/run_bc_native.py,52,3454,1,False,4385aaf5d2ed8fdcc934f7fb1981f1ba636601c405b83898dd6e439795d1272d
python/run_bc_post_onset.py,42,2099,1,False,a3074e7a980624fe84d61124c44bdc88c2b446770ff07e9f0f995084223809cc
python/run_nsga2_electrical_solid_loop.py,204,7805,3,False,6e4f8907c21210de5d10ef4d70d7c5439e5f906789985d632e197d09e2844308
python/tests/test_area_matched_staggered_baseline.py,280,10438,8,True,605aad8c1474def165b54962254ab9b3e0f467c9428530fba8b52e03a8560262
python/tests/test_bc_continuation_async.py,540,18450,23,True,a8c2cd7261dbb34a091d21b0e0f015424955a1dde3b9b3c9752aaa17d2e35ef2
python/tests/test_bc_global_pipeline.py,209,7855,5,True,07abe6f4b5c7b75d15ce1a2c151bde7021f62a2141acaed96012c3ca98fe3f5c
python/tests/test_bc_native.py,295,16497,22,True,86503c3687e61b143685a14390b9f67e238377702297042d17048275f1fbca97
python/tests/test_bc_native_release.py,1118,51261,56,True,d4501600acc4b19dbe383699353c9042d01c55c30c204ec319aa0fa5c3492fc5
python/tests/test_bc_reaction_conservation.py,1293,45048,45,True,c1b624017e42fdd78579fad74bb9c445531e3fa7beb5ce54390c55847446212f
python/tests/test_bc_reactive_integration.py,382,21106,28,True,f6d93b86f0d5c4aa1803c32553fbd15f2ecb043cbb8050961e4697245c98ec45
python/tests/test_cpp_backend_io.py,60,2225,4,True,101dacf1d1325571485eeea963eaed5aec6ce09c9b7ff4d62b463d692f46f5ab
python/tests/test_cpp_surface_contact_physics.py,68,2561,2,True,8368640d1b79f3fdbf16048b345de2d866bc8ea621df2d793b003bb386092ea3
python/tests/test_direct_physics_smoke.py,61,2383,1,True,b76b89bfe89fad878afb2f875d9686e3da4e015f5b423a8004876ae117add736
python/tests/test_diversity_and_mating.py,55,1621,2,True,4cdc52129b4027f000b93d8f66a5ab995854197fe3c486a38be34111061720b7
python/tests/test_hybrid_cuda_cpu_backend.py,235,8277,9,True,739de8e2d235e63a459fa57ea0f1003567ef977ba19a19d61201ae338a18cba1
python/tests/test_metric_mapping.py,49,1859,2,True,e7c3f5099220981b13c0703b00602e58111f9ca3f917776ec0085a895a7a63dc
python/tests/test_mps_multigrid_restriction.py,34,1114,3,True,bdbc8718c81acad722811a4dcf1a76ca222d5b466401d506d521b824d4976c83
python/tests/test_mps_profile.py,151,5897,7,True,b7ab6a014145e87de479a794351a45a9763ee0c15060ba4c70443caed7305c79
python/tests/test_mps_safe_reductions.py,50,1693,3,True,6eee1db6d276c7fb31764739487955e42d20093b51d417c34896b0fd819c9fbe
python/tests/test_no_f_contract.py,62,2288,4,True,cb8c08aa6370e86f1925da324f26f8254cbe842bba6fa5ba15940065a066c46a
python/tests/test_nonlinear_robin_gauge_balance.py,140,5036,3,True,cce60138a70292775b8792d4080f1759e1a3b86858edf42e9d0f6f339aa4eab6
python/tests/test_nsga2_core.py,46,1514,3,True,1463cf1056598c292d7e27694c18c181a97c2335e5bd9e334573f879a36c8202
python/tests/test_physical_floors_and_bv_derivative.py,50,1970,2,True,20af835f687b7ea710f7734344ba06d65b4347f1344de284f55ff2a470e44a4d
python/tests/test_potential_spd_equilibration.py,144,4493,3,True,c9f67b38553ad485a42fde648959a2b9a76028c59f470673409fe3edaf2a0585
python/tests/test_reactive_config_cli_contract.py,170,5482,9,True,1e39d44f84c87b2840ffbda80456ea04ba8852b6c956414320f7e29e502f08f1
python/tests/test_reactive_configuration.py,580,20915,28,True,886ef7b945e6dd0b0793eb4a1aa227f1559e01cc78b5771e774feb2863a9c23b
python/tests/test_reactive_core.py,561,19854,23,True,8982351fa424746563945c6446742e5e312512ed0e17f278eabb5296c27d3248
python/tests/test_reactive_levelset_front.py,445,16421,17,True,62c8919a20cb4646a4ef443912c80e412b0bca0c458dfa9ddb130a6465ad1b72
python/tests/test_reactive_parallel.py,63,2229,7,True,0e15790d8b5ac5833c4c1ac19b54a1acb46cf8cc9c07d20b8dd7657f72b27200
python/tests/test_reactive_provenance_electrical.py,157,5506,12,True,fb9786d1fd44e8dfa1b294e1006e9070f147a499c020d54b2eec5d883a631fcd
python/tests/test_reactive_release_builder.py,298,10607,14,True,c478c06081a03e339b924de3bdc6d95c5db8711459fe0d7aeda61f58cc0e0ea7
python/tests/test_reactive_solid.py,177,5642,12,True,e41d1b3f854b843639ad2f88685e547f983919e1e8ab90a7edd9a7c27c4951f1
python/tests/test_reactive_solver.py,1101,43084,49,True,7f01cc3e326ceffbb1f986a79d0dd8a442ba8f52ecf36a28e3dad6c687203b15
python/tests/test_reactive_tensor_backend.py,277,15818,20,True,c5dd61ffb9a4d31acc0fccf10d2a9d10f2b6a2d81259b6e6ca5fc4bd620d6817
python/tests/test_reactive_validation.py,162,6206,4,True,a41f1b761ba132a2bc37768e82b038a73d1a7bc630f2ce8c9ba9d4b326d0becc
python/tests/test_release_validation_gate.py,269,8982,6,True,11f83ddf197d584eed265ad7ded00825a95abb6189512e765be7b4cbc8cec90d
python/tests/test_surface_contact_multicomponent_geometry.py,99,3718,6,True,6f0128181a544830435d16b4d19c0bbbe32563f8e0e0550d9cc776b5b845fb5f
python/tests/test_surface_overlay_bv_physics.py,605,23170,14,True,1944e7f28edb4061202a6cd8cfcd03ae25d40c889519db994f045c039e9409c1
python/tests/test_v82_release_contract.py,1277,46779,51,True,215f192e770f93828c616d854594e4f8e961ea55add01eba9528c4b658273c57
python/tests/test_vmin_search.py,132,4797,8,True,15931507b330aabbaf8bfe5a2e627ca48de282fd1b2af5c90ce2edc3fc7266e2
python/validate_bc_global_pipeline.py,370,17296,7,False,2e3436b1bafc4acb67d8fa83004b83f91b5a30bec8c49c6ad1bbe4c3c1248443
python/validate_hybrid_a100_cpu48.py,176,6619,3,False,3d8a570143967082bf63c16d7204e53115348d9dd536cdb3912639a64b36615a
python/validate_multicomponent_surface_pairs.py,176,5969,1,False,c7f0708ae9227653ef23447db537ca78e0b17929630dc343f5003dee9801e646
python/validate_potential_precision.py,119,4762,2,False,71fbb44df37eed559f0dfed7a29cf9276ea5563c4ebec781db18e3514b73848d
python/verify_release_manifest.py,164,6012,5,False,27774692fe38f00dbc7d7bf7611d1a512b40d43ba50eb7083c988320fbe37343
cpp/bc_native/bc_engine.cpp,602,42205,not_AST_parsed,False,843f9c9368a2da39037eb2f2a9ff3022cdc841d174444f05db8ad93ae014d7a2
cpp/bc_native/bc_engine.h,8,242,not_AST_parsed,False,692aa509bc9a0fc98f0f332ba246007fd9f352bd2d9ba212bd7e044a5196132e
cpp/bc_native/bc_ops.h,49,2091,not_AST_parsed,False,1503fe18934e6e3e32544a7cebea4fccb15343604ba2431dd7b1aa837fdefad1
cpp/bc_native/bc_ops_cpu.cpp,42,3329,not_AST_parsed,False,f31b982620dda20f38a57c5eb68228f9620a98ecac52fb04461e0b99e2c00053
cpp/bc_native/bc_ops_cuda.cu,43,3871,not_AST_parsed,False,c497a617567bde310998a2a94cb66f7def916d6deb7360ca346e57249bea75ad
cpp/bc_native/bc_scalar.h,378,19741,not_AST_parsed,False,5813fbff625fb5b23787876c2768f88881a8ac867efc4e2e368d7ab3d58b259d
cpp/bc_native/bindings.cpp,19,543,not_AST_parsed,False,35347432e834a28fa65381f477c8f7a1247edf311a2b6dd48decc4a6e67bb7b3
cpp/bc_native/standalone.cpp,57,4174,not_AST_parsed,False,a7faab3fcd1de18646167c649b19cf6cc448d5685c0a6f935d1a501139e29770
cpp/ecsp_cpp_solver.cpp,891,58368,not_AST_parsed,False,453168254960d20d93e0e52c4eac4f0638c391297baaa544691980acc0cb0e94
cpp/ecsp_cpp_solver_hybrid.cpp,895,58733,not_AST_parsed,False,d0d290e156f87f80c0e75c13d8552c50062b7e3145440edf529359262d14ec0f
cpp/reference/ecsp_cpp_solver_v7_9_4_reference.cpp,891,58368,not_AST_parsed,False,453168254960d20d93e0e52c4eac4f0638c391297baaa544691980acc0cb0e94
